sample_id,waste_type,data_source,paper_ref_no,cement_kg_m3,water_cement_ratio,curing_days,rac_%,rcwtb_%,ceramic_%,plastic_%,total_replacement_%,compressive_strength_mpa,flexural_strength_mpa,split_tensile_strength_mpa,chloride_penetration_mm,marine_durability_score,co2_emission_kg_m3,cost_usd_m3
1,RAC,real,See Table 3 (compiled sources),210.0,0.57,3.0,2.0,0.0,0.0,0.0,2.0,15.9,2.27,1.5,26.81,3.7,169.4,32.7
2,RAC,real,See Table 3 (compiled sources),210.0,0.58,56.0,1.0,0.0,0.0,0.0,1.0,40.7,5.25,3.59,20.46,6.2,170.8,37.1
3,RAC,real,See Table 3 (compiled sources),350.0,0.42,3.0,2.0,0.0,0.0,0.0,2.0,35.6,4.48,3.03,17.06,6.9,288.2,53.8
4,RAC,real,"Hoang 2024, Mathematics (Ref 9)",196.0,0.469,28.0,49.9,0.0,0.0,0.0,49.9,29.8,4.09,2.75,22.41,5.8,120.0,23.7
5,Combined,augmented_literature_based,This study (synthetic augmentation),469.4,0.465,90.0,33.9,12.6,11.4,4.0,61.9,56.8,7.17,5.32,12.34,9.7,346.6,58.4
6,RAC,real,See Table 3 (compiled sources),300.0,0.5,28.0,57.2,0.0,0.0,0.0,57.2,30.2,3.4,3.0,22.92,5.0,201.2,30.6
7,RAC,real,See Table 3 (compiled sources),350.0,0.36,28.0,2.0,0.0,0.0,0.0,2.0,50.1,5.61,4.28,13.08,7.8,279.1,65.3
8,RAC,real,See Table 3 (compiled sources),500.0,0.33,28.0,1.0,0.0,0.0,0.0,1.0,66.6,8.06,5.46,10.02,8.1,412.6,92.5
9,RAC,real,See Table 3 (compiled sources),210.0,0.59,28.0,1.0,0.0,0.0,0.0,1.0,30.1,4.25,2.55,22.75,5.6,173.0,42.5
10,RAC,real,See Table 3 (compiled sources),350.0,0.36,56.0,1.0,0.0,0.0,0.0,1.0,56.7,6.83,4.93,10.36,8.6,288.5,62.5
